UF,Mesorregião Geográfica,CD_Mun,Cidade,Zona,SELL OUT ANUAL,SELL OUT MÊS,POTENCIAL ANUAL,POTENCIAL MÊS,POPULAÇÃO ,PDV,%SHARE,Share_Calculado
PE,São Francisco Pernambucano,2608057,Jatobá,Zona Serra Talhada,3840,320.0,12070.5,1005.875,14477,14.477,0.3181309804896234,31.813098048962345
PE,Agreste Pernambucano,2608107,João Alfredo,Região Metroplitana Norte,16710,1392.5,35665.5,2972.125,28842,28.842,0.4685199983177019,46.8519998317702
PE,Mata Pernambucana,2608206,Joaquim Nabuco,Região Metroplitana Oeste,144,12.0,13219.5,1101.625,13416,13.416,0.0108929989787813,1.0892998978781345
PE,Agreste Pernambucano,2608255,Jucati,Zona Garanhus,0,0.0,14427.0,1202.25,12023,12.023,0.0,0.0
PE,Agreste Pernambucano,2608305,Jupi,Zona Garanhus,2898,241.5,24682.5,2056.875,16022,16.022,0.1174111212397447,11.741112123974476
PE,Agreste Pernambucano,2608404,Jurema,Zona Garanhus,3933,327.75,14569.5,1214.125,14002,14.002,0.2699474930505508,26.994749305055084
PE,Mata Pernambucana,2608503,Lagoa do Itaenga,Região Metroplitana Norte,3930,327.5,28224.0,2352.0,19863,19.863,0.1392431972789115,13.924319727891158
PE,Mata Pernambucana,2608453,Lagoa do Carro,Região Metroplitana Norte,5550,462.5,17790.0,1482.5,18804,18.804,0.311973018549747,31.197301854974707
PE,Agreste Pernambucano,2608602,Lagoa do Ouro,Zona Garanhus,2214,184.5,13102.5,1091.875,12367,12.367,0.1689753863766457,16.89753863766457
PE,Agreste Pernambucano,2608701,Lagoa dos Gatos,Zona Garanhus,396,33.0,17101.5,1425.125,14333,14.333,0.0231558635207437,2.3155863520743796
PE,São Francisco Pernambucano,2608750,Lagoa Grande,Zona Petrolina,2358,196.5,23718.0,1976.5,24951,24.951,0.0994181634201872,9.94181634201872
PE,Agreste Pernambucano,2608800,Lajedo,Zona Garanhus,17181,1431.75,88417.5,7368.125,41960,41.96,0.1943167359402833,19.431673594028332
PE,Agreste Pernambucano,2608909,Limoeiro,Região Metroplitana Norte,14574,1214.5,100129.5,8344.125,59236,59.236,0.1455515107935223,14.555151079352239
PE,Mata Pernambucana,2609006,Macaparana,Região Metroplitana Norte,2934,244.5,42661.5,3555.125,24642,24.642,0.0687739530958827,6.8773953095882705
PE,Agreste Pernambucano,2609105,Machados,Região Metroplitana Norte,2694,224.5,18093.0,1507.75,11387,11.387,0.14889736362129,14.889736362129
PE,Sertão Pernambucano,2609154,Manari,Zona Arco Verde,2256,188.0,12208.5,1017.375,27046,27.046,0.18478928615309,18.478928615309005
PE,Mata Pernambucana,2609204,Maraial,Região Metroplitana Oeste,0,0.0,10302.0,858.5,9322,9.322,0.0,0.0
PE,Sertão Pernambucano,2609303,Mirandiba,Zona Serra Talhada,1125,93.75,14977.5,1248.125,14605,14.605,0.0751126690035052,7.511266900350526
